cell_type,cells,avg_outdegree,median_outdegree,max_outdegree,total_outdegree
APL,1,1141.0,1141.0,1141,1141
V_ilPN,1,70.0,70.0,70,70
lLN2P_c,2,6.0,6.0,10,12
PS157,1,5.0,5.0,5,5
AN05B050,1,4.0,4.0,4,4
ATL014,1,4.0,4.0,4,4
DM5_lPN,1,4.0,4.0,4,4
M_ilPNm90,1,4.0,4.0,4,4
PLP143,1,4.0,4.0,4,4
AN05B101,1,3.0,3.0,3,3
AVLP316,1,3.0,3.0,3,3
CB1611,1,3.0,3.0,3,3
CL261b,1,3.0,3.0,3,3
CRE106,1,3.0,3.0,3,3
LHAV2o1,1,3.0,3.0,3,3
LHCENT2,1,3.0,3.0,3,3
M_vPNml67,1,3.0,3.0,3,3
SLP437,1,3.0,3.0,3,3
SLP465b,1,3.0,3.0,3,3
SMP075b,1,3.0,3.0,3,3
SMP461,1,3.0,3.0,3,3
VP4_vPN,1,3.0,3.0,3,3
SMP049,2,2.0,2.0,3,4
ALIN6,1,2.0,2.0,2,2
AVLP519b,1,2.0,2.0,2,2
AVLP570,1,2.0,2.0,2,2
CB0113,1,2.0,2.0,2,2
CB0124,1,2.0,2.0,2,2
CB0449,1,2.0,2.0,2,2
CB1675,1,2.0,2.0,2,2
CB1842,1,2.0,2.0,2,2
CB2569,1,2.0,2.0,2,2
CB2903,1,2.0,2.0,2,2
CB3458,1,2.0,2.0,2,2
DA1_lPN,1,2.0,2.0,2,2
IN06B030,1,2.0,2.0,2,2
LAL011,1,2.0,2.0,2,2
LAL183,1,2.0,2.0,2,2
LHPV5a1,1,2.0,2.0,2,2
M_lPNm11D,1,2.0,2.0,2,2
MeMe_e05,1,2.0,2.0,2,2
ORN_VL2p,1,2.0,2.0,2,2
ORN_VM5d,1,2.0,2.0,2,2
PS164,1,2.0,2.0,2,2
PVLP133,1,2.0,2.0,2,2
SIP066,1,2.0,2.0,2,2
WED026,1,2.0,2.0,2,2
cM07,1,2.0,2.0,2,2
lLN2X07,1,2.0,2.0,2,2
v2LN40_2,1,2.0,2.0,2,2
MTe51,3,1.6667,1.0,3,5
ORN_V,22,1.0,1.0,1,22
KCab-s,5,1.0,1.0,1,5
ORN_DC4,3,1.0,1.0,2,3
CB1577,2,1.0,1.0,2,2
ORN_VA3,2,1.0,1.0,1,2
ORN_VM1,2,1.0,1.0,1,2
ORN_VM6v,2,1.0,1.0,1,2
SMP261,2,1.0,1.0,2,2
VP1l+_lvPN,2,1.0,1.0,2,2
v2LN3A1_b,2,1.0,1.0,1,2
AN05B078,1,1.0,1.0,1,1
AN09B004,1,1.0,1.0,1,1
AN17A014,1,1.0,1.0,1,1
ANXXX084,1,1.0,1.0,1,1
AN_GNG_IPS_13,1,1.0,1.0,1,1
ATL030,1,1.0,1.0,1,1
AVLP286,1,1.0,1.0,1,1
CB0218,1,1.0,1.0,1,1
CB0342,1,1.0,1.0,1,1
CB0381,1,1.0,1.0,1,1
CB0424,1,1.0,1.0,1,1
CB0599,1,1.0,1.0,1,1
CB0667,1,1.0,1.0,1,1
CB0683,1,1.0,1.0,1,1
CB0889,1,1.0,1.0,1,1
CB1013,1,1.0,1.0,1,1
CB1040,1,1.0,1.0,1,1
CB1043,1,1.0,1.0,1,1
CB1141,1,1.0,1.0,1,1
CB1251,1,1.0,1.0,1,1
CB1268,1,1.0,1.0,1,1
CB1296,1,1.0,1.0,1,1
CB1357,1,1.0,1.0,1,1
CB1405,1,1.0,1.0,1,1
CB1430,1,1.0,1.0,1,1
CB1452,1,1.0,1.0,1,1
CB1726,1,1.0,1.0,1,1
CB1871,1,1.0,1.0,1,1
CB1949,1,1.0,1.0,1,1
CB2022,1,1.0,1.0,1,1
CB2165,1,1.0,1.0,1,1
CB2267,1,1.0,1.0,1,1
CB2285,1,1.0,1.0,1,1
CB2421,1,1.0,1.0,1,1
CB2602,1,1.0,1.0,1,1
CB3047,1,1.0,1.0,1,1
CB3603,1,1.0,1.0,1,1
CB3623,1,1.0,1.0,1,1
CB3696,1,1.0,1.0,1,1
CB3735,1,1.0,1.0,1,1
CB3745,1,1.0,1.0,1,1
CB3796,1,1.0,1.0,1,1
CL058,1,1.0,1.0,1,1
CL234,1,1.0,1.0,1,1
CRE027,1,1.0,1.0,1,1
CRE044,1,1.0,1.0,1,1
CRE050,1,1.0,1.0,1,1
DA3_adPN,1,1.0,1.0,1,1
DL3_lPN,1,1.0,1.0,1,1
DNge149,1,1.0,1.0,1,1
DNp48,1,1.0,1.0,1,1
DNpe041,1,1.0,1.0,1,1
IN04B036,1,1.0,1.0,1,1
IN08B075,1,1.0,1.0,1,1
IN12A005,1,1.0,1.0,1,1
IN19B003,1,1.0,1.0,1,1
KCg-s1,1,1.0,1.0,1,1
LAL053,1,1.0,1.0,1,1
LAL110,1,1.0,1.0,1,1
LAL163,1,1.0,1.0,1,1
LAL196,1,1.0,1.0,1,1
LHAV3d1,1,1.0,1.0,1,1
LHPD2d2,1,1.0,1.0,1,1
LHPV4a11,1,1.0,1.0,1,1
LHPV6f1,1,1.0,1.0,1,1
LHPV6o1,1,1.0,1.0,1,1
MBON15-like,1,1.0,1.0,1,1
M_lPNm12b,1,1.0,1.0,1,1
M_lvPNm41,1,1.0,1.0,1,1
M_lvPNm42,1,1.0,1.0,1,1
M_vPNml65,1,1.0,1.0,1,1
MeMe_e11,1,1.0,1.0,1,1
ORN_DC2,1,1.0,1.0,1,1
ORN_DL1,1,1.0,1.0,1,1
ORN_DP1m,1,1.0,1.0,1,1
ORN_VA2,1,1.0,1.0,1,1
ORN_VA6,1,1.0,1.0,1,1
ORN_VM2,1,1.0,1.0,1,1
PAM06,1,1.0,1.0,1,1
PAM07,1,1.0,1.0,1,1
PLP156,1,1.0,1.0,1,1
SIP069,1,1.0,1.0,1,1
SIP076,1,1.0,1.0,1,1
SLP223,1,1.0,1.0,1,1
SLP369,1,1.0,1.0,1,1
SLP376,1,1.0,1.0,1,1
SLP389,1,1.0,1.0,1,1
SMP092,1,1.0,1.0,1,1
SMP183,1,1.0,1.0,1,1
VA1v_adPN,1,1.0,1.0,1,1
VES051,1,1.0,1.0,1,1
VES056,1,1.0,1.0,1,1
aMe4,1,1.0,1.0,1,1
mAL,1,1.0,1.0,1,1
vLN26,1,1.0,1.0,1,1
KCab-p,21,0.9524,1.0,2,20
KCab,376,0.8883,1.0,3,334
KCg-d,50,0.84,1.0,2,42
KCapbp-ap2,38,0.7632,1.0,2,29
KCg-m,546,0.7344,1.0,3,401
KCapbp-ap1,58,0.7069,1.0,2,41
KCab-m,36,0.6667,1.0,2,24
untyped,79,0.6582,1.0,2,52
KCab-c,9,0.5556,1.0,1,5
KCapbp-m,34,0.5294,1.0,1,18
KCab-ap2,4,0.5,0.5,1,2
CB0510,2,0.5,0.5,1,1
CB1668,2,0.5,0.5,1,1
CB2711,2,0.5,0.5,1,1
CB1843,3,0.3333,0.0,1,1
CB2091,3,0.3333,0.0,1,1
CB2740,3,0.0,0.0,0,0
CB2654,2,0.0,0.0,0,0
LHAV7a7,2,0.0,0.0,0,0
M_lvPNm46,2,0.0,0.0,0,0
SLPa&l1_anterior__0,2,0.0,0.0,0,0
ATL029,1,0.0,0.0,0,0
AVLP105,1,0.0,0.0,0,0
AVLP187,1,0.0,0.0,0,0
AVLP574,1,0.0,0.0,0,0
CB0183,1,0.0,0.0,0,0
CB0556,1,0.0,0.0,0,0
CB0685,1,0.0,0.0,0,0
CB1062,1,0.0,0.0,0,0
CB1160,1,0.0,0.0,0,0
CB1249,1,0.0,0.0,0,0
CB1334,1,0.0,0.0,0,0
CB1545,1,0.0,0.0,0,0
CB1699,1,0.0,0.0,0,0
CB1846,1,0.0,0.0,0,0
CB1926,1,0.0,0.0,0,0
CB1984,1,0.0,0.0,0,0
CB2135,1,0.0,0.0,0,0
CB2345,1,0.0,0.0,0,0
CB2367,1,0.0,0.0,0,0
CB2388,1,0.0,0.0,0,0
CB2870,1,0.0,0.0,0,0
CB3381,1,0.0,0.0,0,0
CB3399,1,0.0,0.0,0,0
CB3650,1,0.0,0.0,0,0
CB3774,1,0.0,0.0,0,0
CL023,1,0.0,0.0,0,0
CL038,1,0.0,0.0,0,0
CL101,1,0.0,0.0,0,0
CL213,1,0.0,0.0,0,0
CRE080a,1,0.0,0.0,0,0
CRE081,1,0.0,0.0,0,0
DNxl105,1,0.0,0.0,0,0
FB6A,1,0.0,0.0,0,0
IB116,1,0.0,0.0,0,0
IN01A045,1,0.0,0.0,0,0
IN04B049,1,0.0,0.0,0,0
IN06B013,1,0.0,0.0,0,0
IN20A.22A008,1,0.0,0.0,0,0
KCab-ap1,1,0.0,0.0,0,0
LHAV2b2a,1,0.0,0.0,0,0
LHAV2g1b,1,0.0,0.0,0,0
LHAV2k6,1,0.0,0.0,0,0
LHAV3o1,1,0.0,0.0,0,0
LHAV4a4,1,0.0,0.0,0,0
LHAV4b2,1,0.0,0.0,0,0
LHPD3a1,1,0.0,0.0,0,0
LHPD5d1,1,0.0,0.0,0,0
LPTe02,1,0.0,0.0,0,0
M_adPNm6,1,0.0,0.0,0,0
M_lPNm11A,1,0.0,0.0,0,0
M_lvPNm48,1,0.0,0.0,0,0
OA-AL2i1,1,0.0,0.0,0,0
PAM08,1,0.0,0.0,0,0
PLP084,1,0.0,0.0,0,0
PLP087a,1,0.0,0.0,0,0
SMP016,1,0.0,0.0,0,0
SMP044,1,0.0,0.0,0,0
SMP360,1,0.0,0.0,0,0
SMP376,1,0.0,0.0,0,0
SMP389b,1,0.0,0.0,0,0
SMP427,1,0.0,0.0,0,0
SMP469c,1,0.0,0.0,0,0
SMP568,1,0.0,0.0,0,0
VC5_lvPN,1,0.0,0.0,0,0
VL2a_vPN,1,0.0,0.0,0,0
VLPd&p1_posterior__0,1,0.0,0.0,0,0
VM4_lvPN,1,0.0,0.0,0,0
VM5d_adPN,1,0.0,0.0,0,0
aMe3,1,0.0,0.0,0,0
oviDN,1,0.0,0.0,0,0
v2LN32,1,0.0,0.0,0,0
v2LN42c,1,0.0,0.0,0,0
