scc_id,size,members,dag_indegree,dag_outdegree,dag_level,external_out_edges,external_in_edges,internal_edges,source_like_score,is_source_scc,is_source_like_hub
288,858,720575941351040048 720575941390655236 720575941390989060 720575941391740676 720575941391906052 720575941391907588 720575941392359830 720575941392643222 720575941392656278 720575941392700932 720575941392755094 720575941400845091 720575941400856099 720575941401071139 720575941401391139 720575941403677040 720575941404013936 720575941406224046 720575941406581934 720575941406616238 720575941407486511 720575941408491694 720575941408610863 720575941410171051 720575941410351019 720575941410352299 720575941410779503 720575941410815659 720575941411143083 720575941411271279 720575941412021137 720575941412294511 720575941413567636 720575941413569428 720575941413569940 720575941413625492 720575941413778580 720575941413783956 720575941414623772 720575941414655380 720575941415411996 720575941415819292 720575941425741396 720575941428575480 720575941428715000 720575941428843401 720575941430307977 720575941430319497 720575941430625967 720575941430677719 720575941430755977 720575941430859256 720575941431121166 720575941431199841 720575941431374295 720575941431907086 720575941431917326 720575941432332247 720575941433220110 720575941433505678 720575941434029088 720575941434832160 720575941434988064 720575941435490190 720575941437054175 720575941437414930 720575941437604831 720575941437635039 720575941437666092 720575941437724460 720575941438263871 720575941438309439 720575941438459967 720575941438651436 720575941438665746 720575941438713311 720575941438818860 720575941439120607 720575941439275487 720575941439366485 720575941439373909 720575941439376213 720575941439377237 720575941439535445 720575941440304063 720575941440458687 720575941440818267 720575941440949967 720575941440952015 720575941440957391 720575941440961231 720575941441221211 720575941441356479 720575941442653098 720575941442999210 720575941445097898 720575941446853908 720575941446986004 720575941447099412 720575941447732756 720575941448140622 720575941448890461 720575941449373262 720575941449600334 720575941449806926 720575941449938101 720575941450060469 720575941450125390 720575941450834810 720575941450955854 720575941451082830 720575941451644794 720575941451650119 720575941452424775 720575941453769779 720575941454033971 720575941454554163 720575941454581043 720575941455615213 720575941455942893 720575941457120415 720575941457748976 720575941457821680 720575941458003615 720575941458218655 720575941458955846 720575941460124486 720575941460284115 720575941460287443 720575941460328592 720575941461250259 720575941461459856 720575941461460368 720575941461460880 720575941461683600 720575941462095248 720575941462103696 720575941463746317 720575941465206806 720575941465670230 720575941465801046 720575941466577942 720575941466605142 720575941466800406 720575941466804246 720575941466844694 720575941466956630 720575941469103581 720575941469132555 720575941469412829 720575941469787456 720575941469901533 720575941470378103 720575941470410507 720575941470557195 720575941470563851 720575941470609472 720575941471045696 720575941471063872 720575941471362679 720575941471860064 720575941472273962 720575941472668000 720575941472780640 720575941472902698 720575941472919904 720575941472920672 720575941473014112 720575941473613354 720575941473619498 720575941473887018 720575941474202410 720575941474288426 720575941474755131 720575941474788657 720575941476123441 720575941476126257 720575941476126769 720575941476204574 720575941476229681 720575941476474218 720575941476666177 720575941476707380 720575941476866113 720575941476980532 720575941477094209 720575941477146673 720575941477321578 720575941477655402 720575941478376042 720575941478678122 720575941478807715 720575941479145696 720575941479489154 720575941479529346 720575941479755394 720575941479974083 720575941480139906 720575941480198223 720575941480244387 720575941480357199 720575941480435107 720575941480971171 720575941481032611 720575941481061571 720575941481579459 720575941481601219 720575941481728186 720575941481864134 720575941482107834 720575941482492346 720575941482623162 720575941482634938 720575941482668797 720575941482840317 720575941482842298 720575941482909949 720575941482981373 720575941482985469 720575941483012294 720575941485363266 720575941485577990 720575941485639309 720575941485704454 720575941486078349 720575941486201094 720575941486372418 720575941486704013 720575941486808016 720575941486821328 720575941486961872 720575941486978000 720575941487147728 720575941488194869 720575941488591305 720575941489126453 720575941489151438 720575941489489973 720575941489498677 720575941489685813 720575941489940172 720575941490063157 720575941490438860 720575941490442188 720575941490450124 720575941490451404 720575941490608359 720575941490616777 720575941490649550 720575941490658023 720575941490888935 720575941490901452 720575941491033292 720575941491039463 720575941491202510 720575941491412942 720575941492114352 720575941493146494 720575941494019710 720575941494206846 720575941494223486 720575941494430080 720575941494460032 720575941494739399 720575941494799488 720575941495221374 720575941495772800 720575941496026235 720575941496131783 720575941496449920 720575941497143202 720575941497229435 720575941497540937 720575941497776713 720575941497788322 720575941497945211 720575941497951650 720575941497976905 720575941498046177 720575941498088059 720575941498195681 720575941498298849 720575941498627657 720575941499038114 720575941499412386 720575941499430473 720575941500085131 720575941501130635 720575941501327243 720575941501388779 720575941502020802 720575941502256834 720575941502607298 720575941502634434 720575941502857451 720575941502899543 720575941502899947 720575941503095019 720575941503706818 720575941503740866 720575941503921970 720575941504164802 720575941504221490 720575941504223426 720575941504267173 720575941504788037 720575941504821669 720575941505053756 720575941505473340 720575941505950629 720575941506086167 720575941506106647 720575941506226210 720575941506382359 720575941506395973 720575941506467934 720575941507020823 720575941507196510 720575941507387682 720575941507490910 720575941507582849 720575941507592321 720575941507707742 720575941508189313 720575941508232994 720575941508405264 720575941508427536 720575941508459358 720575941508462686 720575941508889554 720575941509234386 720575941509708048 720575941510149904 720575941511835212 720575941512861905 720575941512877265 720575941512885324 720575941512896076 720575941513080140 720575941513107276 720575941513429763 720575941513657955 720575941513675875 720575941513763537 720575941514184515 720575941514187331 720575941514725779 720575941514807395 720575941514946819 720575941515046905 720575941515056474 720575941515217242 720575941515255386 720575941515372025 720575941515451459 720575941515525219 720575941515564537 720575941515580409 720575941515732227 720575941517853356 720575941517855404 720575941518001368 720575941518048428 720575941518398318 720575941518430636 720575941519084211 720575941519356270 720575941519401944 720575941520212151 720575941520216247 720575941520663287 720575941520670455 720575941520884659 720575941521019575 720575941522636023 720575941522799607 720575941523248203 720575941523351371 720575941523782475 720575941524423755 720575941524752484 720575941525909325 720575941525981186 720575941526058573 720575941526342402 720575941526393625 720575941526458649 720575941526881380 720575941527272358 720575941527328589 720575941528106884 720575941528108932 720575941528110980 720575941528111748 720575941528122244 720575941528408708 720575941528511876 720575941528702136 720575941529431992 720575941530240997 720575941530375883 720575941530376651 720575941531051723 720575941531254147 720575941531481547 720575941531555557 720575941531609061 720575941531609829 720575941531794405 720575941532493699 720575941533114290 720575941533256323 720575941533422273 720575941533624042 720575941533627826 720575941533956786 720575941534104242 720575941534108850 720575941534161386 720575941534164658 720575941534296242 720575941534317802 720575941534527770 720575941534732042 720575941535230698 720575941535523777 720575941535561192 720575941535573953 720575941535596314 720575941535608090 720575941535609354 720575941535618842 720575941535753955 720575941535839425 720575941536107969 720575941536669416 720575941536722659 720575941536746211 720575941537013219 720575941537070997 720575941537294051 720575941537308392 720575941538104050 720575941538109170 720575941538113778 720575941538114290 720575941538159765 720575941538161301 720575941538349693 720575941538642930 720575941539393405 720575941539400573 720575941539436749 720575941539895757 720575941539900285 720575941541439324 720575941541548124 720575941541939485 720575941542134045 720575941542710557 720575941542787333 720575941542798877 720575941543606789 720575941543622917 720575941545072389 720575941545509052 720575941545516393 720575941545884521 720575941546334132 720575941546385513 720575941546438068 720575941546762376 720575941546847924 720575941546885556 720575941547375752 720575941547378977 720575941547830664 720575941547911304 720575941548285729 720575941548854644 720575941549074804 720575941549212221 720575941549918836 720575941549928052 720575941549947764 720575941550190142 720575941550271038 720575941550612991 720575941551427207 720575941551637054 720575941552062782 720575941552231230 720575941552554814 720575941552912794 720575941553097243 720575941553282970 720575941553512531 720575941553664539 720575941553717383 720575941554084353 720575941554276609 720575941554280449 720575941554292225 720575941554566995 720575941554574931 720575941554706259 720575941554991443 720575941555292644 720575941555830500 720575941555970899 720575941556151588 720575941557186340 720575941557394724 720575941557401636 720575941557545892 720575941557552420 720575941557655823 720575941557669668 720575941558015012 720575941558873971 720575941558957294 720575941559191055 720575941559303918 720575941559364979 720575941559567987 720575941559598607 720575941559748879 720575941560020462 720575941560026639 720575941560082447 720575941560088691 720575941560493101 720575941560923949 720575941560980269 720575941561179816 720575941561291565 720575941562698408 720575941562799104 720575941562868834 720575941563087111 720575941563183623 720575941563184530 720575941563318418 720575941563364754 720575941563422098 720575941563426194 720575941563450002 720575941563609344 720575941563615232 720575941564108800 720575941564110087 720575941564371463 720575941564736103 720575941565173814 720575941565192758 720575941565362274 720575941565497447 720575941565768246 720575941566144814 720575941567195130 720575941567236142 720575941567950638 720575941568196722 720575941568401710 720575941568409390 720575941568521330 720575941568870900 720575941568987636 720575941569076980 720575941569251954 720575941570154996 720575941571534238 720575941571538846 720575941572046088 720575941572078494 720575941572358921 720575941573510395 720575941573693341 720575941573717405 720575941573814281 720575941573815561 720575941573840392 720575941574248200 720575941574326429 720575941574795785 720575941575117672 720575941575125430 720575941575142070 720575941575172278 720575941575333558 720575941575571087 720575941575852136 720575941577571417 720575941577940569 720575941578410073 720575941578621173 720575941578760017 720575941578771281 720575941578771537 720575941578778961 720575941580585337 720575941581388153 720575941582097247 720575941583947230 720575941585435358 720575941585447646 720575941585532126 720575941585622750 720575941586943812 720575941587981111 720575941588105284 720575941588107588 720575941588234820 720575941588609860 720575941588906380 720575941588912708 720575941589513470 720575941589513982 720575941591011947 720575941591943464 720575941592450856 720575941592560491 720575941592686187 720575941592876327 720575941593157227 720575941593656939 720575941593749361 720575941593991894 720575941594125526 720575941594183207 720575941594287143 720575941594359847 720575941594521125 720575941594551079 720575941594567207 720575941594916721 720575941594918513 720575941595049174 720575941595062897 720575941595095153 720575941595136881 720575941595370023 720575941595380101 720575941595384453 720575941595489649 720575941595591557 720575941595820933 720575941597551552 720575941597606044 720575941597943452 720575941598634793 720575941598703772 720575941598789929 720575941599418665 720575941599805481 720575941600158505 720575941600811049 720575941601790454 720575941601794038 720575941601824502 720575941601884918 720575941602482422 720575941603229630 720575941603427513 720575941603588086 720575941603873214 720575941604202686 720575941606452333 720575941606745453 720575941606752365 720575941607242605 720575941607410541 720575941607540845 720575941609321961 720575941609994214 720575941610108333 720575941610148269 720575941610187850 720575941610188106 720575941610604521 720575941610869734 720575941610973357 720575941610974438 720575941610976685 720575941611044585 720575941611048294 720575941611075245 720575941611158246 720575941611160294 720575941611221350 720575941611400668 720575941611630253 720575941612101862 720575941612115373 720575941612272230 720575941612398044 720575941612404700 720575941612645340 720575941612703708 720575941612911324 720575941613411737 720575941613592595 720575941613651932 720575941614221721 720575941614560531 720575941614802329 720575941615034581 720575941615266005 720575941616953301 720575941617908095 720575941618944895 720575941619267199 720575941619324543 720575941620065407 720575941623523227 720575941623539355 720575941623921404 720575941624230794 720575941624253322 720575941624267402 720575941624282108 720575941624972699 720575941624981147 720575941624994459 720575941624995995 720575941624997275 720575941625002139 720575941625002651 720575941625005467 720575941625015963 720575941625018732 720575941625095050 720575941625099419 720575941625172635 720575941625498267 720575941625726828 720575941625888138 720575941626183323 720575941626202267 720575941626344300 720575941626527370 720575941627618617 720575941627653689 720575941627690278 720575941628651046 720575941629497580 720575941629690662 720575941629765356 720575941629924578 720575941630052332 720575941630160610 720575941630236130 720575941630390498 720575941630412514 720575941630644194 720575941630660578 720575941630935712 720575941630940652 720575941631089388 720575941631166917 720575941631375547 720575941631815877 720575941632038341 720575941632125893 720575941632202693 720575941632251589 720575941632309152 720575941632352748 720575941632563397 720575941632692128 720575941632713632 720575941632730784 720575941632733115 720575941633072325 720575941633214651 720575941633862331 720575941638570869 720575941638924917 720575941639613983 720575941639844213 720575941640155679 720575941641078629 720575941642378853 720575941642479973 720575941642482533 720575941642584165 720575941642943905 720575941642950817 720575941642973010 720575941642988114 720575941643237281 720575941643292754 720575941643304530 720575941644055672 720575941644308306 720575941644567496 720575941644574664 720575941644575176 720575941644708984 720575941644724424 720575941644760225 720575941644788168 720575941650345493 720575941650896405 720575941650990613 720575941651115281 720575941651470869 720575941651620881 720575941652146449 720575941652482321 720575941652697105 720575941652928529 720575941653252369 720575941653588180 720575941653926617 720575941654105049 720575941654152148 720575941654617817 720575941654854868 720575941655658708 720575941657750808 720575941658032208 720575941658036816 720575941659028048 720575941662422652 720575941662582140 720575941665916403 720575941667266547 720575941667555315 720575941667685619 720575941668483827 720575941668888497 720575941669445297 720575941670348711 720575941679148477 720575941680288701 720575941685420783 720575941686481420 720575941687221743 720575941687861366 720575941688181260 720575941688262924 720575941689536219 720575941689618651 720575941689827035 720575941689908888 720575941689913240 720575941689916568 720575941689920664 720575941702050266 720575941702182874 720575941702343386 720575941702399706 720575941722853946 720575941723491642 720575941731786539 720575941732179499 720575941732220203,80,286,4,303,85,1730,424,False,True
398,5,720575941427599956 720575941505836613 720575941579108953 720575941605177534 720575941645578696,27,78,2,79,27,8,103,False,True
446,1,720575941549450301,0,4,0,4,0,0,8,True,True
428,1,720575941620098431,1,4,1,4,1,0,6,False,True
579,2,720575941477570356 720575941524467787,0,3,0,3,0,2,6,True,True
435,1,720575941435469198,0,3,0,3,0,0,6,True,True
542,1,720575941653792785,0,3,0,3,0,0,6,True,True
550,1,720575941496981888,0,3,0,3,0,0,6,True,True
566,1,720575941498681467,0,3,0,3,0,0,6,True,True
572,1,720575941519100332,0,3,0,3,0,0,6,True,True
585,1,720575941540197212,0,3,0,3,0,0,6,True,True
587,1,720575941532611301,0,3,0,3,0,0,6,True,True
338,1,720575941539206130,1,3,3,3,1,0,4,False,True
456,1,720575941534443352,1,3,1,3,1,0,4,False,True
511,1,720575941462728848,1,3,2,3,1,0,4,False,True
406,1,720575941633322912,0,2,0,2,0,0,4,True,True
410,1,720575941494528640,0,2,0,2,0,0,4,True,True
412,1,720575941400948515,0,2,0,2,0,0,4,True,True
414,1,720575941485863746,0,2,0,2,0,0,4,True,True
419,1,720575941534188632,0,2,0,2,0,0,4,True,True
430,1,720575941624602620,0,2,0,2,0,0,4,True,True
448,1,720575941527241912,0,2,0,2,0,0,4,True,True
452,1,720575941667080947,0,2,0,2,0,0,4,True,True
458,1,720575941633125061,0,2,0,2,0,0,4,True,True
472,1,720575941546314601,0,2,0,2,0,0,4,True,True
496,1,720575941503734103,0,2,0,2,0,0,4,True,True
498,1,720575941504545586,0,2,0,2,0,0,4,True,True
535,1,720575941450035125,0,2,0,2,0,0,4,True,True
537,1,720575941546556009,0,2,0,2,0,0,4,True,True
539,1,720575941463952909,0,2,0,2,0,0,4,True,True
555,1,720575941572727198,0,2,0,2,0,0,4,True,True
559,1,720575941628152377,0,2,0,2,0,0,4,True,True
590,1,720575941556443364,0,2,0,2,0,0,4,True,True
591,1,720575941506643772,0,2,0,2,0,0,4,True,True
596,1,720575941461458576,0,2,0,2,0,0,4,True,True
306,1,720575941481452227,1,2,3,2,1,0,2,False,True
324,1,720575941515143523,1,2,3,2,1,0,2,False,True
336,1,720575941439558975,1,2,5,2,1,0,2,False,True
379,1,720575941584606815,1,2,3,2,1,0,2,False,True
440,1,720575941568394030,1,2,1,2,1,0,2,False,True
460,1,720575941593624278,1,2,1,2,1,0,2,False,True
514,1,720575941536634906,1,2,4,2,1,0,2,False,True
592,1,720575941551918591,0,1,0,3,0,0,4,True,False
593,1,720575941549863997,0,1,0,2,0,0,3,True,False
597,1,720575941534068568,0,1,0,2,0,0,3,True,False
599,1,720575941613427475,0,1,0,2,0,0,3,True,False
400,1,720575941559105295,0,1,0,1,0,0,2,True,False
401,1,720575941447738900,0,1,0,1,0,0,2,True,False
402,1,720575941553210395,0,1,0,1,0,0,2,True,False
403,1,720575941591608939,0,1,0,1,0,0,2,True,False
407,1,720575941557613604,0,1,0,1,0,0,2,True,False
408,1,720575941590471820,0,1,0,1,0,0,2,True,False
415,1,720575941431652015,0,1,0,1,0,0,2,True,False
416,1,720575941578902517,0,1,0,1,0,0,2,True,False
417,1,720575941645295736,0,1,0,1,0,0,2,True,False
418,1,720575941477734506,0,1,0,1,0,0,2,True,False
420,1,720575941435408526,0,1,0,1,0,0,2,True,False
421,1,720575941401286179,0,1,0,1,0,0,2,True,False
422,1,720575941539794125,0,1,0,1,0,0,2,True,False
423,1,720575941556494500,0,1,0,1,0,0,2,True,False
424,1,720575941409103407,0,1,0,1,0,0,2,True,False
436,1,720575941450221493,0,1,0,1,0,0,2,True,False
437,1,720575941565138327,0,1,0,1,0,0,2,True,False
449,1,720575941650578193,0,1,0,1,0,0,2,True,False
461,1,720575941681163709,0,1,0,1,0,0,2,True,False
462,1,720575941480235171,0,1,0,1,0,0,2,True,False
463,1,720575941562681000,0,1,0,1,0,0,2,True,False
465,1,720575941471419712,0,1,0,1,0,0,2,True,False
466,1,720575941499022305,0,1,0,1,0,0,2,True,False
467,1,720575941520998327,0,1,0,1,0,0,2,True,False
468,1,720575941667081459,0,1,0,1,0,0,2,True,False
469,1,720575941596505733,0,1,0,1,0,0,2,True,False
470,1,720575941529202052,0,1,0,1,0,0,2,True,False
473,1,720575941413821844,0,1,0,1,0,0,2,True,False
474,1,720575941439418197,0,1,0,1,0,0,2,True,False
475,1,720575941439575871,0,1,0,1,0,0,2,True,False
476,1,720575941441016015,0,1,0,1,0,0,2,True,False
477,1,720575941442503119,0,1,0,1,0,0,2,True,False
478,1,720575941450253749,0,1,0,1,0,0,2,True,False
479,1,720575941450331229,0,1,0,1,0,0,2,True,False
480,1,720575941480497632,0,1,0,1,0,0,2,True,False
481,1,720575941483576006,0,1,0,1,0,0,2,True,False
482,1,720575941496920448,0,1,0,1,0,0,2,True,False
483,1,720575941503873623,0,1,0,1,0,0,2,True,False
484,1,720575941510380304,0,1,0,1,0,0,2,True,False
485,1,720575941514335820,0,1,0,1,0,0,2,True,False
486,1,720575941515961603,0,1,0,1,0,0,2,True,False
487,1,720575941516001123,0,1,0,1,0,0,2,True,False
488,1,720575941516178010,0,1,0,1,0,0,2,True,False
489,1,720575941519200940,0,1,0,1,0,0,2,True,False
490,1,720575941519499180,0,1,0,1,0,0,2,True,False
491,1,720575941526974466,0,1,0,1,0,0,2,True,False
492,1,720575941528135846,0,1,0,1,0,0,2,True,False
493,1,720575941531506123,0,1,0,1,0,0,2,True,False
494,1,720575941470236023,0,1,0,1,0,0,2,True,False
499,1,720575941538618610,0,1,0,1,0,0,2,True,False
500,1,720575941483911933,0,1,0,1,0,0,2,True,False
501,1,720575941453550249,0,1,0,1,0,0,2,True,False
502,1,720575941478446243,0,1,0,1,0,0,2,True,False
503,1,720575941625967050,0,1,0,1,0,0,2,True,False
505,1,720575941574064649,0,1,0,1,0,0,2,True,False
506,1,720575941589296964,0,1,0,1,0,0,2,True,False
507,1,720575941565178934,0,1,0,1,0,0,2,True,False
518,1,720575941408580526,0,1,0,1,0,0,2,True,False
519,1,720575941481358927,0,1,0,1,0,0,2,True,False
520,1,720575941632356588,0,1,0,1,0,0,2,True,False
522,1,720575941431400696,0,1,0,1,0,0,2,True,False
523,1,720575941566411318,0,1,0,1,0,0,2,True,False
526,1,720575941518117804,0,1,0,1,0,0,2,True,False
527,1,720575941483506618,0,1,0,1,0,0,2,True,False
528,1,720575941561409581,0,1,0,1,0,0,2,True,False
529,1,720575941593520747,0,1,0,1,0,0,2,True,False
532,1,720575941551486463,0,1,0,1,0,0,2,True,False
533,1,720575941598556060,0,1,0,1,0,0,2,True,False
546,1,720575941482313667,0,1,0,1,0,0,2,True,False
547,1,720575941495974528,0,1,0,1,0,0,2,True,False
551,1,720575941441557967,0,1,0,1,0,0,2,True,False
552,1,720575941626307948,0,1,0,1,0,0,2,True,False
553,1,720575941529280388,0,1,0,1,0,0,2,True,False
556,1,720575941669442737,0,1,0,1,0,0,2,True,False
557,1,720575941610407498,0,1,0,1,0,0,2,True,False
560,1,720575941570159092,0,1,0,1,0,0,2,True,False
561,1,720575941559678958,0,1,0,1,0,0,2,True,False
562,1,720575941527021478,0,1,0,1,0,0,2,True,False
563,1,720575941503081815,0,1,0,1,0,0,2,True,False
567,1,720575941438270764,0,1,0,1,0,0,2,True,False
568,1,720575941508596609,0,1,0,1,0,0,2,True,False
569,1,720575941510911442,0,1,0,1,0,0,2,True,False
580,1,720575941482496765,0,1,0,1,0,0,2,True,False
581,1,720575941557261476,0,1,0,1,0,0,2,True,False
582,1,720575941455088691,0,1,0,1,0,0,2,True,False
588,1,720575941532846565,0,1,0,1,0,0,2,True,False
594,1,720575941427336020,0,1,0,1,0,0,2,True,False
598,1,720575941595884145,0,1,0,1,0,0,2,True,False
600,1,720575941392349590,0,1,0,1,0,0,2,True,False
601,1,720575941412272239,0,1,0,1,0,0,2,True,False
602,1,720575941412281455,0,1,0,1,0,0,2,True,False
603,1,720575941427741780,0,1,0,1,0,0,2,True,False
604,1,720575941430460335,0,1,0,1,0,0,2,True,False
605,1,720575941431360471,0,1,0,1,0,0,2,True,False
606,1,720575941432172046,0,1,0,1,0,0,2,True,False
607,1,720575941436260384,0,1,0,1,0,0,2,True,False
608,1,720575941440326229,0,1,0,1,0,0,2,True,False
609,1,720575941451645050,0,1,0,1,0,0,2,True,False
610,1,720575941452982855,0,1,0,1,0,0,2,True,False
611,1,720575941455824877,0,1,0,1,0,0,2,True,False
612,1,720575941455963629,0,1,0,1,0,0,2,True,False
613,1,720575941461693840,0,1,0,1,0,0,2,True,False
614,1,720575941472675424,0,1,0,1,0,0,2,True,False
615,1,720575941474289450,0,1,0,1,0,0,2,True,False
616,1,720575941476124721,0,1,0,1,0,0,2,True,False
617,1,720575941476163434,0,1,0,1,0,0,2,True,False
618,1,720575941482625210,0,1,0,1,0,0,2,True,False
619,1,720575941487167696,0,1,0,1,0,0,2,True,False
620,1,720575941495673031,0,1,0,1,0,0,2,True,False
621,1,720575941497023305,0,1,0,1,0,0,2,True,False
622,1,720575941497257851,0,1,0,1,0,0,2,True,False
623,1,720575941498077819,0,1,0,1,0,0,2,True,False
624,1,720575941507268446,0,1,0,1,0,0,2,True,False
625,1,720575941507494238,0,1,0,1,0,0,2,True,False
626,1,720575941508435841,0,1,0,1,0,0,2,True,False
627,1,720575941513612364,0,1,0,1,0,0,2,True,False
628,1,720575941517636012,0,1,0,1,0,0,2,True,False
629,1,720575941518579054,0,1,0,1,0,0,2,True,False
630,1,720575941520884147,0,1,0,1,0,0,2,True,False
631,1,720575941522216523,0,1,0,1,0,0,2,True,False
632,1,720575941527888772,0,1,0,1,0,0,2,True,False
633,1,720575941533352323,0,1,0,1,0,0,2,True,False
634,1,720575941535216650,0,1,0,1,0,0,2,True,False
635,1,720575941539204813,0,1,0,1,0,0,2,True,False
636,1,720575941539953789,0,1,0,1,0,0,2,True,False
637,1,720575941543837957,0,1,0,1,0,0,2,True,False
638,1,720575941545528425,0,1,0,1,0,0,2,True,False
639,1,720575941550119679,0,1,0,1,0,0,2,True,False
640,1,720575941551899647,0,1,0,1,0,0,2,True,False
641,1,720575941554081363,0,1,0,1,0,0,2,True,False
642,1,720575941560113523,0,1,0,1,0,0,2,True,False
643,1,720575941561951400,0,1,0,1,0,0,2,True,False
