row_index,triplet,left_graph,right_graph,heldout_graph,sample_size,sample_id,sampling_strategy,threeway_nodes,threeway_csv,graph_a,graph_b,graph_c,graph_a_nodes_in_raw,graph_b_nodes_in_raw,graph_c_nodes_in_raw,graph_a_duplicate_nodes,graph_b_duplicate_nodes,graph_c_duplicate_nodes,graph_a_edges_no_self_loops,graph_b_edges_no_self_loops,graph_c_edges_no_self_loops,iso_graph_a_b,iso_graph_a_c,iso_graph_b_c,raw_directed_induced_threeway_isomorphic_no_self_loops,graph_a_weak_components,graph_a_largest_weak_component,graph_a_isolated_nodes_weak,graph_a_largest_weak_ratio,graph_a_strong_components,graph_a_largest_strong_component,graph_a_largest_strong_ratio,graph_b_weak_components,graph_b_largest_weak_component,graph_b_isolated_nodes_weak,graph_b_largest_weak_ratio,graph_b_strong_components,graph_b_largest_strong_component,graph_b_largest_strong_ratio,graph_c_weak_components,graph_c_largest_weak_component,graph_c_isolated_nodes_weak,graph_c_largest_weak_ratio,graph_c_strong_components,graph_c_largest_strong_component,graph_c_largest_strong_ratio,weak_components,largest_weak_component,isolated_nodes_weak,largest_weak_ratio,strong_components,largest_strong_component,largest_strong_ratio,edges_no_self_loops
38,banc_626|fafb_783|mcns_0.9,fafb_783,mcns_0.9,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,2435,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,fafb_783,mcns_0.9,banc_626,1,1,1,0,0,0,2461,2461,2461,1,1,1,1,787,1429,713,0.586858,1684,733,0.301027,787,1429,713,0.586858,1684,733,0.301027,787,1429,713,0.586858,1684,733,0.301027,787,1429,713,0.586858,1684,733,0.301027,2461
39,banc_626|manc_1.2.1|maol_1.1,banc_626,maol_1.1,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,825,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--maol_1.1__pair_banc_626__maol_1.1__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,banc_626,maol_1.1,manc_1.2.1,1,1,1,0,0,0,540,540,540,1,1,1,1,404,347,359,0.420606,755,50,0.060606,404,347,359,0.420606,753,50,0.060606,404,347,359,0.420606,756,50,0.060606,404,347,359,0.420606,755,50,0.060606,540
40,banc_626|fafb_783|mcns_0.9,banc_626,mcns_0.9,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,2880,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--mcns_0.9__pair_banc_626__mcns_0.9__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,banc_626,mcns_0.9,fafb_783,1,1,1,0,0,0,2832,2832,2832,1,1,1,1,983,1540,801,0.534722,1994,858,0.297917,983,1540,801,0.534722,1995,858,0.297917,983,1540,801,0.534722,1995,858,0.297917,983,1540,801,0.534722,1994,858,0.297917,2832
41,banc_626|fafb_783|mcns_0.9,banc_626,fafb_783,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,2292,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--fafb_783--mcns_0.9__pair_banc_626__fafb_783__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,banc_626,fafb_783,mcns_0.9,1,1,1,0,0,0,2038,2038,2038,1,1,1,1,948,1161,862,0.506545,1653,628,0.273997,948,1161,862,0.506545,1654,628,0.273997,948,1161,862,0.506545,1654,628,0.273997,948,1161,862,0.506545,1653,628,0.273997,2038
42,banc_626|manc_1.2.1|maol_1.1,manc_1.2.1,maol_1.1,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,660,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--maol_1.1__pair_manc_1.2.1__maol_1.1__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,manc_1.2.1,maol_1.1,banc_626,1,1,1,0,0,0,470,470,470,1,1,1,1,309,246,251,0.372727,577,42,0.063636,309,246,251,0.372727,578,42,0.063636,309,246,251,0.372727,577,42,0.063636,309,246,251,0.372727,577,42,0.063636,470
43,banc_626|manc_1.2.1|mcns_0.9,banc_626,manc_1.2.1,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,897,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_banc_626__manc_1.2.1__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,banc_626,manc_1.2.1,mcns_0.9,1,1,1,0,0,0,605,605,605,1,1,1,1,373,289,266,0.322185,841,15,0.016722,373,289,266,0.322185,842,15,0.016722,373,289,266,0.322185,841,15,0.016722,373,289,266,0.322185,841,15,0.016722,605
44,banc_626|manc_1.2.1|mcns_0.9,banc_626,mcns_0.9,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,879,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_banc_626__mcns_0.9__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,banc_626,mcns_0.9,manc_1.2.1,1,1,1,0,0,0,665,665,665,1,1,1,1,307,461,244,0.524460,829,16,0.018203,307,461,244,0.524460,829,16,0.018203,307,461,244,0.524460,828,16,0.018203,307,461,244,0.524460,829,16,0.018203,665
45,banc_626|manc_1.2.1|mcns_0.9,manc_1.2.1,mcns_0.9,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,878,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--manc_1.2.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,manc_1.2.1,mcns_0.9,banc_626,1,1,1,0,0,0,682,682,682,1,1,1,1,318,308,240,0.350797,800,24,0.027335,318,308,240,0.350797,800,24,0.027335,318,308,240,0.350797,801,24,0.027335,318,308,240,0.350797,800,24,0.027335,682
46,banc_626|maol_1.1|mcns_0.9,banc_626,maol_1.1,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,1258,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--maol_1.1--mcns_0.9__pair_banc_626__maol_1.1__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,banc_626,maol_1.1,mcns_0.9,1,1,1,0,0,0,1264,1264,1264,1,1,1,1,485,666,430,0.529412,835,409,0.325119,485,666,430,0.529412,835,409,0.325119,485,666,430,0.529412,834,409,0.325119,485,666,430,0.529412,835,409,0.325119,1264
47,banc_626|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,banc_626,21000,high_degree_bfs_seed1,high_degree_bfs,1165,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_banc_626.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__banc_626.threeway_nodes.csv,maol_1.1,mcns_0.9,banc_626,1,1,1,0,0,0,1278,1278,1278,1,1,1,1,345,679,280,0.582833,779,355,0.304721,345,679,280,0.582833,779,355,0.304721,345,679,280,0.582833,781,355,0.304721,345,679,280,0.582833,779,355,0.304721,1278
48,banc_626|maol_1.1|mcns_0.9,banc_626,mcns_0.9,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,1040,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_banc_626--maol_1.1--mcns_0.9__pair_banc_626__mcns_0.9__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,banc_626,mcns_0.9,maol_1.1,1,1,1,0,0,0,1206,1206,1206,1,1,1,1,270,717,234,0.689423,655,369,0.354808,270,717,234,0.689423,655,369,0.354808,270,717,234,0.689423,655,369,0.354808,270,717,234,0.689423,655,369,0.354808,1206
49,fafb_783|manc_1.2.1|maol_1.1,fafb_783,manc_1.2.1,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,728,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__manc_1.2.1__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,fafb_783,manc_1.2.1,maol_1.1,1,1,1,0,0,0,458,458,458,1,1,1,1,357,270,287,0.370879,665,35,0.048077,357,270,287,0.370879,664,35,0.048077,357,270,287,0.370879,665,35,0.048077,357,270,287,0.370879,665,35,0.048077,458
50,fafb_783|manc_1.2.1|maol_1.1,fafb_783,maol_1.1,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,765,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_fafb_783__maol_1.1__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,fafb_783,maol_1.1,manc_1.2.1,1,1,1,0,0,0,637,637,637,1,1,1,1,313,355,268,0.464052,661,81,0.105882,313,355,268,0.464052,660,81,0.105882,313,355,268,0.464052,660,81,0.105882,313,355,268,0.464052,661,81,0.105882,637
51,fafb_783|manc_1.2.1|maol_1.1,manc_1.2.1,maol_1.1,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,662,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--maol_1.1__pair_manc_1.2.1__maol_1.1__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,manc_1.2.1,maol_1.1,fafb_783,1,1,1,0,0,0,474,474,474,1,1,1,1,308,248,257,0.374622,577,45,0.067976,308,248,257,0.374622,578,45,0.067976,308,248,257,0.374622,577,45,0.067976,308,248,257,0.374622,577,45,0.067976,474
52,fafb_783|manc_1.2.1|mcns_0.9,fafb_783,manc_1.2.1,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,778,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__manc_1.2.1__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,fafb_783,manc_1.2.1,mcns_0.9,1,1,1,0,0,0,550,550,550,1,1,1,1,336,315,274,0.404884,718,34,0.043702,336,315,274,0.404884,715,34,0.043702,336,315,274,0.404884,716,34,0.043702,336,315,274,0.404884,718,34,0.043702,550
53,fafb_783|manc_1.2.1|mcns_0.9,fafb_783,mcns_0.9,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,787,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,fafb_783,mcns_0.9,manc_1.2.1,1,1,1,0,0,0,604,604,604,1,1,1,1,294,451,261,0.573062,744,26,0.033037,294,451,261,0.573062,748,26,0.033037,294,451,261,0.573062,748,26,0.033037,294,451,261,0.573062,744,26,0.033037,604
54,fafb_783|manc_1.2.1|mcns_0.9,manc_1.2.1,mcns_0.9,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,839,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--manc_1.2.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,manc_1.2.1,mcns_0.9,fafb_783,1,1,1,0,0,0,591,591,591,1,1,1,1,346,314,271,0.374255,780,20,0.023838,346,314,271,0.374255,780,20,0.023838,346,314,271,0.374255,782,20,0.023838,346,314,271,0.374255,780,20,0.023838,591
55,fafb_783|maol_1.1|mcns_0.9,fafb_783,maol_1.1,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,1351,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__maol_1.1__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,fafb_783,maol_1.1,mcns_0.9,1,1,1,0,0,0,1925,1925,1925,1,1,1,1,277,1019,239,0.754256,823,509,0.376758,277,1019,239,0.754256,823,509,0.376758,277,1019,239,0.754256,823,509,0.376758,277,1019,239,0.754256,823,509,0.376758,1925
56,fafb_783|maol_1.1|mcns_0.9,fafb_783,mcns_0.9,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,801,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_fafb_783__mcns_0.9__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,fafb_783,mcns_0.9,maol_1.1,1,1,1,0,0,0,1222,1222,1222,1,1,1,1,61,725,47,0.905119,468,325,0.405743,61,725,47,0.905119,468,325,0.405743,61,725,47,0.905119,468,325,0.405743,61,725,47,0.905119,468,325,0.405743,1222
57,fafb_783|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,fafb_783,21000,high_degree_bfs_seed1,high_degree_bfs,1223,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_fafb_783--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_fafb_783.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__fafb_783.threeway_nodes.csv,maol_1.1,mcns_0.9,fafb_783,1,1,1,0,0,0,1442,1442,1442,1,1,1,1,341,790,288,0.645953,810,391,0.319706,341,790,288,0.645953,811,391,0.319706,341,790,288,0.645953,810,391,0.319706,341,790,288,0.645953,810,391,0.319706,1442
58,manc_1.2.1|maol_1.1|mcns_0.9,manc_1.2.1,maol_1.1,mcns_0.9,21000,high_degree_bfs_seed1,high_degree_bfs,628,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_manc_1.2.1__maol_1.1__heldout_mcns_0.9.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__mcns_0.9.threeway_nodes.csv,manc_1.2.1,maol_1.1,mcns_0.9,1,1,1,0,0,0,417,417,417,1,1,1,1,313,249,268,0.396497,562,45,0.071656,313,249,268,0.396497,562,45,0.071656,313,249,268,0.396497,562,45,0.071656,313,249,268,0.396497,562,45,0.071656,417
59,manc_1.2.1|maol_1.1|mcns_0.9,manc_1.2.1,mcns_0.9,maol_1.1,21000,high_degree_bfs_seed1,high_degree_bfs,738,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_manc_1.2.1__mcns_0.9__heldout_maol_1.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__maol_1.1.threeway_nodes.csv,manc_1.2.1,mcns_0.9,maol_1.1,1,1,1,0,0,0,459,459,459,1,1,1,1,386,250,316,0.338753,676,33,0.044715,386,250,316,0.338753,676,33,0.044715,386,250,316,0.338753,677,33,0.044715,386,250,316,0.338753,676,33,0.044715,459
60,manc_1.2.1|maol_1.1|mcns_0.9,maol_1.1,mcns_0.9,manc_1.2.1,21000,high_degree_bfs_seed1,high_degree_bfs,730,outputs/high_degree_bfs_20K/threeway_node_triplets/triplet_manc_1.2.1--maol_1.1--mcns_0.9__pair_maol_1.1__mcns_0.9__heldout_manc_1.2.1.n21000.high_degree_bfs_seed1.rank1.left_pattern__in__manc_1.2.1.threeway_nodes.csv,maol_1.1,mcns_0.9,manc_1.2.1,1,1,1,0,0,0,514,514,514,1,1,1,1,357,329,321,0.450685,658,53,0.072603,357,329,321,0.450685,658,53,0.072603,357,329,321,0.450685,658,53,0.072603,357,329,321,0.450685,658,53,0.072603,514
